prc_std_cd,prc_cd,prc_short_desc,prc_desc,prc_lvl1_desc,prc_lvl2_desc,prc_lvl3_desc,prc_lvl4_desc
1,1,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
2,2,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
3,3,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
4,4,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
5,5,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
6,6,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
7,7,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
8,8,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
9,9,PROC AND INTERVENT NEC,"PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED","PROCEDURES AND INTERVENTIONS, NOT ELSEWHERE CLASSIFIED",PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED,PROCEDURES AND INTERVENTIONS NOT ELSEWHERE CLASSIFIED
